Text,Max_Similarity,Relation,Average_Similarity,relation
"The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.",,intend,0.7782904,intend
The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,,intend,0.7340354,intend
The government passed a law to increase access to financial services in an effort to promote economic growth.,,intend,0.7908903,intend
"The government passed a law to increase access to voting rights, in an effort to ensure equal representation.",,intend,0.7933111,intend
"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",,intend,0.78480446,intend
"The government has passed a law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.746964,intend
The government passed a law to protect the rights of minorities in an effort to promote equality and justice.,,intend,0.7702226,intend
The government passed a law to protect the rights of workers in an effort to ensure fair wages and working conditions.,,intend,0.746964,intend
The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,,intend,0.77539957,intend
"The government passed a law to increase access to healthcare, in an effort to reduce health disparities.",,intend,0.78807914,intend
The government passed a law to increase funding for public education and improve educational outcomes.,,intend,0.7146977,intend
The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,,intend,0.7861363,intend
"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",,intend,0.7040174,intend
"The government passed a law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",,intend,0.746964,intend
"The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.",,intend,0.76466405,intend
The government passed a law to provide incentives for businesses to invest in renewable energy sources.,,intend,0.79501224,intend
"The government passed a law to increase funding for research and development, in an effort to promote innovation.",,intend,0.7878351,intend
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.77296907,intend
The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,,intend,0.7614415,intend
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.77296907,intend
The government passed a new law to protect the rights of immigrants in an effort to promote diversity.,,intend,0.75596476,intend
The government has implemented a series of reforms to improve the quality of education and access to higher education.,,intend,0.77402127,intend
The government passed a new law to protect the rights of women in an effort to promote gender equality.,,intend,0.73956645,intend
"The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. ",,intend,0.7969534,intend
Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,,intend,0.7782462,intend
The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,,intend,0.727389,intend
The government has implemented a series of reforms to promote public health and reduce the spread of disease.,,intend,0.77809536,intend
"The United Nations passed a resolution calling for an end to the use of nuclear weapons, in an effort to protect the world from the dangers of nuclear warfare.",,intend,0.73387766,intend
Rally's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer.,,intend,0.7986058,intend
The government passed a law to increase the number of anti-discrimination laws in an effort to promote equality.,,intend,0.7865402,intend
The government passed a law to increase access to healthcare in an effort to reduce mortality rates.,,intend,0.7786935,intend
"Mr. Lortie's departure, while sudden, was seen as inevitable in light of the shift in strategy. ",,intend,0.7778616,intend
The United States passed a law to impose sanctions on Iran in an effort to pressure the government to end its nuclear weapons program.,,intend,0.6898308,intend
The United Nations passed a resolution to impose economic sanctions on North Korea in an effort to pressure the government to end its nuclear weapons program.,,intend,0.77295053,intend
The United Nations passed a resolution to increase international cooperation in order to combat terrorism.,,intend,0.700813,intend
"The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change.",,intend,0.76046926,intend
The government has implemented a series of reforms to protect the rights of workers and promote labor rights.,,intend,0.7469896,intend
"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",,intend,0.76587236,intend
The United Nations passed a resolution to impose an arms embargo on Libya in an effort to pressure the government to end its civil war.,,intend,0.7028173,intend
"The government has passed a law to increase funding for renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.7389556,intend
"The government is introducing a new tax to help fund the national health service, in an effort to reduce the burden on taxpayers.",,intend,0.76018846,intend
The government passed a law to protect the rights of immigrants and refugees.,,intend,0.7911315,intend
"The government passed a law to increase access to healthcare, in an effort to improve public health.",,intend,0.7624222,intend
"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge.    ",,intend,0.7227129,intend
"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime.",,intend,0.68487173,intend
The United States has increased its military presence in the Middle East in an effort to combat terrorism.,,intend,0.777746,intend
The United Nations Security Council imposed economic sanctions on North Korea in an effort to curb its nuclear weapons program.,,intend,0.6898308,intend
"The government is introducing a new law to protect the rights of religious minorities, in an effort to promote freedom of religion.",,intend,0.749053,intend
The government passed a law to strengthen gun control and reduce gun violence.,,intend,0.7356855,intend
The Senate passed a bill to increase funding for public education.,,intend,0.7146977,intend
"Mr. Edelman declined to specify what prompted the recent moves, saying they are meant only to benefit shareholders when ""the company is on a roll."" ",,intend,0.7612544,intend
The government launched a new initiative to promote access to healthcare.,,intend,0.79205185,intend
"The government passed a law to increase funding for public health services, in an effort to improve health outcomes.",,intend,0.78333616,intend
The government passed a law to protect the rights of indigenous peoples.,,intend,0.7911315,intend
"The government has introduced a new law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",,intend,0.77296907,intend
"The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality.",,intend,0.694183,intend
The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom.,,intend,0.77547795,intend
"The government passed a law to increase access to technology, in an effort to promote economic growth.",,intend,0.76967275,intend
The United Nations passed a resolution calling for an end to the conflict in the Middle East.,,intend,0.792238,intend
"The government passed a law to increase access to clean water, in an effort to reduce water-borne diseases.",,intend,0.79112214,intend
The United States and Canada agreed to a trade deal that would reduce tariffs and increase access to Canadian markets for American companies.,,intend,0.7999302,intend
The International Monetary Fund has approved a loan package to help stabilize the economy of a developing nation.,,intend,0.7608256,intend
The government has implemented a series of reforms to promote public safety and reduce crime.,,intend,0.78002703,intend
"The government passed a law to increase the availability of renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.78496206,intend
The government passed a law to reduce carbon emissions and combat climate change.,,intend,0.7364392,intend
The United States passed a law to impose sanctions on Russia in an effort to pressure the government to end its interference in Ukraine.,,intend,0.79455644,intend
"The government is introducing a new law to protect the rights of religious minorities, in an effort to promote religious freedom.",,intend,0.75832576,intend
The government launched a new initiative to promote gender equality.,,intend,0.7999965,intend
"The government passed a law to increase funding for renewable energy sources, in an effort to reduce carbon emissions.",,intend,0.7534715,intend
"The government passed a law to increase access to education, in an effort to reduce inequality.",,intend,0.770692,intend
"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons.""",,intend,0.743758,intend
"The government passed a law to increase funding for education, in an effort to improve educational outcomes.",,intend,0.7146977,intend
"The government passed a law to increase funding for infrastructure projects, in an effort to improve economic growth.",,intend,0.78333104,intend
The government has implemented a series of reforms to promote democracy and reduce political corruption.,,intend,0.78065675,intend
The government passed a law to strengthen gun control in an effort to reduce gun violence.,,intend,0.76106244,intend
"That would be a huge problem if it were to continue, because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer's equipment and toward systems -- mainly Unix -- that work on almost anyone's machines.    ",,cause,0.7931344,cause
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7440782,cause
"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",,cause,0.78429705,cause
The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,,cause,0.7821107,cause
"National Intergroup in the year-ago third quarter earned $22.5 million, or 97 cents a share, including a gain of $18 million from the sale of a steel tube company. ",,cause,0.7632527,cause
"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ",,cause,0.7899124,cause
"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """,,cause,0.7954476,cause
"Concern about declines in other markets, especially New York, caused selling pressure.    ",,cause,0.799774,cause
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7489321,cause
"Instead, Sununusought to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as ""a collection of small groups of aides holding their breaths,""waiting to see whether Sununu survives. ",,cause,0.7915081,cause
"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered.",,cause,0.71458066,cause
"Another 16 members of the Brazilian-led peacekeeping force deployed in Haiti are confirmed dead, U.N. Secretary-General Ban Ki-moon said Wednesday night -- three Jordanian police officers, one Argentinean and one Chadian police officer, and 11 Brazilian peacekeepers.",,cause,0.72633636,cause
"After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he offered him a week to withdraw fully  , instead of the four days he originally considered, because ofobjections from some European partners that four days seemedpunitive and unrealistic.   ",,cause,0.7812921,cause
"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",,cause,0.69927436,cause
"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.",,cause,0.6898765,cause
The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,,cause,0.76140225,cause
"The offer was automatically triggered by the recent sale of Control Data's Imprimis disk-drive business to Seagate Technology Inc.    Mr. Perlman, who is also acting chief financial officer and the odds-on favorite to become the next chief executive, said the company is achieving ""modest positive cash flow from operations, and we expect that to continue into 1990.""    ",,cause,0.7706567,cause
"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",,cause,0.7991693,cause
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7489321,cause
But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,,cause,0.7395212,cause
"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ",,cause,0.72644377,cause
"But Kenneth Leon, a telecommunications analyst with Bear, Stearns amp Co., finds the BellSouth proposal still flawed because the company does n't have to wait five years to begin buying more LIN shares. ",,cause,0.77886695,cause
"Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending. ",,cause,0.7793542,cause
"Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising.    ",,cause,0.7697922,cause
"Japanese government officials, eager to rebut foreign criticism of Japanese investments overseas , hailed the transaction as proof foreigners can make similar investments in Japan. ",,cause,0.77162105,cause
"The supplement contains various information that has been filed with the Securities and Exchange Commission since Dow Jones launched the offer on Sept. 26, but it does n't change the terms and conditions of the offer except to extend its expiration date.    ",,cause,0.63049686,cause
Other market-maker gripes: Program trading also causes the Nasdaq Composite Index to lose ground against other segments of the stock market.,,cause,0.77630436,cause
"In a statement prepared by lawyers for the university and Connaught, the parties said they agreed that as a result of reaching a C415 million research accord, ""It is unnecessary that there be a judgment on the merits {of the case} at this time.""    ",,cause,0.7806177,cause
"Maria described a cross-border trade in young children and babies -- with orders coming in regularly from the U.S."" They stole the children and one of the gang members took a six-year-old kid that I had to look after for three hours.""",,cause,0.73713624,cause
"Net income includes an extraordinary gain of about $100,000 from the reversal of bad debt and interest income. ",,cause,0.77457315,cause
"The series "" Valley of the Wolves "" first aired in 2003 on Turkish television, followed by a 2006 movie of the same name that stirred controversy with its portrayal of American soldiers in Iraq and what some described as thinly-veiled anti-Semitism.",,cause,0.7597707,cause
"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ",,cause,0.7659565,cause
"Profit at the unit fell to $110.6 million, or 37 cents a share, from $142.4 million, or 45 cents a share, largely because of a $24 million one-time charge associated with Hughes's previously announced plan to reduce employment by at least 6,000 people by year end. ",,cause,0.77733326,cause
"Japan's unemployment rate fell below 5 per cent for the first time in a year in January, according to data released on Tuesday, as strong exports fed into a strengthening economic recovery.",,cause,0.7671462,cause
"They've revisited the idea of censorship and the price they're paying is too high, "" says Roseann Rife of Amnesty International.""",,cause,0.7576559,cause
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",,cause,0.7086975,cause
"The Dearborn, Mich., energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant. ",,cause,0.79218423,cause
"If you really believe a business issue is interesting, writing a letter to an editor of a newspaper and getting it published is a way of raising your profile.",,cause,0.79000705,cause
Traders said the market remains extremely nervous because of the wild swings seen on the New York Stock Exchange last week.,,cause,0.7248373,cause
"Female Facebookers started catching on this week as a message made its rounds through the inboxes of the social media network.""",,cause,0.7684154,cause
"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ",,cause,0.7374405,cause
"MGM Grand Inc. has agreed to pay $93 million and nearly 1.8 million common shares to buy 117 acres of land along the Las Vegas, Nev., Strip as a site for its planned movie-studio and theme-park resort.    ",,cause,0.79090065,cause
He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.',,cause,0.7878501,cause
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7581936,cause
"The offer, which was due to expire yesterday, is conditional on 50.1% of Dunkin' common shares, on a fully diluted basis, being tendered and on the withdrawal of the company's poison pill rights plan.    ",,cause,0.784027,cause
"Some of Sansui's fellow audio-specialty companies, such as Aiwa Co. and Pioneer Electric Corp., responded to the challenge by quickly bringing out mini-component products of their own, by moving heavily into the booming compact disk businesses or by diversifying into other consumer-electronics fields, including laser disks or portable cassette players. ",,cause,0.7912362,cause
"Mr. Vaux said that if no agreement is reached, other buyers will be sought by bid or auction. ",,cause,0.77128553,cause
"StatesWest Airlines, Phoenix, Ariz., said it withdrew its offer to acquire Mesa Airlines because the Farmington, N.M., carrier did n't respond to its offer by the close of business yesterday, a deadline StatesWest had set for a response.    ",,cause,0.7643183,cause
Investigators have spoken with consumers and conducted preliminary field work.,,cause,0.78416365,cause
"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home.",,cause,0.77460104,cause
"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """,,cause,0.74534786,cause
"Some analysts have said Courtaulds' moves could boost the company's value by 5% to 10%, because the two entities separately will carry a higher price earnings multiple than they did combined. ",,cause,0.7934841,cause
"Even as Saddam Hussein was searching for a ploy to ease his isolation, though, the international pressure against him clicked up another notch. ",,cause,0.7352992,cause
Israel criticized Turkey Monday for a Turkish television series that it said depicted Israeli intelligence agents as baby-snatchers.,,cause,0.7898787,cause
"A senior dealer with Warburg Securities noted British Gas, the most active blue-chip stock at 20 million shares traded, was affected by the political implications of Mr. Lawson's departure and Mrs. Thatcher's cabinet shuffle.    ",,cause,0.78501034,cause
"But they failed to sell these stocks to client investors, who were cautious about the sharp gains these issues made this week, the Wako official said.    ",,cause,0.73573005,cause
"The spokesman said that the proposed guidelines caused Crossland to revise its business objectives and, consequently , to write down the asset value of some previous acquisitions. ",,cause,0.78288364,cause
"``We continue  to pray and pray hard to God so that there will beno confrontation whereby you  will receive thousands of Americanswrapped in sad coffins after you  had pushed them into a darktunnel,'' Saddam said.   ",,cause,0.78612924,cause
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year.,,cause,0.783435,cause
"A group of investors led by Giant Group Ltd. and its chairman, Burt Sugarman, said it filed with federal antitrust regulators for clearance to buy more than 50% of the stock of Rally's Inc., a fast-food company based in Louisville, Ky.    Rally's operates and franchises about 160 fast-food restaurants throughout the U.S. The company went public earlier this month, offering 1,745,000 shares of common stock at $15 a share. ",,cause,0.72534794,cause
"Reuters Holdings PLC said Michael Reupke resigned as general manager  to pursue unspecified interests, a move the news organization termed an ""amicable separation.""    ",,cause,0.79829395,cause
"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners, alleging that the hostile offer violates a standstill agreement between the two concerns.    ",,cause,0.7996732,cause
"The Saudis even have in their possession 48 Kuwaiti jet fighters, virtually the entire Kuwaiti air force, which managed to escape the Iraqi invasion, Saudi officials said. ",,cause,0.78827816,cause
"In addition, Hewlett-Packard acquired a two-year option to buy an extra 10%, of which half may be sold directly to Hewlett-Packard by Octel. ",,cause,0.79373217,cause
"He argued setting an explicit deadline forSaddam Hussein to break would, when it was broken, give theU.S. military a clear green light to proceed.   ",,cause,0.760579,cause
